timestamps,TransCurrentGear,TransSelectedGear,EngSpeed,ActualEngPercentTorque,EngReferenceTorque,NominalFrictionPercentTorque,WheelBasedVehicleSpeed,TransInputShaftSpeed,TransOutputShaftSpeed,TransShiftInProcess,Time,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth,EngSpeedVelocity,Delta_EngSpeedVelocity,EngSpeedAcceleration,EngSpeedAccelerationForth
2024-07-03 15:32:45.512950-03:00,1.0,2.0,2695.3692867898567,32.26544450040985,650,6.0,14.268414189495724,2692.61129679145,430.8980614973266,b'ShiftInProcess',14024.51295,1,0.0,34.19616346925142,0.0,0.0,0.0,5.472405381016047,0.0,0.0,0.0,34.23118994223118,0.0,0.0,0.0
2024-07-03 15:32:45.515785-03:00,1.0,2.0,2697.2559643396744,31.83827222497938,650,6.0,14.277387071455964,2694.3926470594956,431.01176470592526,b'ShiftInProcess',14024.515785000001,0,0.002835,34.218786617655596,0.022623148404179005,7.979946527047269,4055.0846519382153,5.473849411765251,0.0014440307492034066,0.5093582889606373,0.06731215766101155,34.255150747113866,0.023960804882683817,8.4517830274017,5102.621534807769
2024-07-03 15:32:45.521725-03:00,1.0,2.0,2701.209003013293,30.943244600763872,650,6.0,14.296187395552712,2698.125,431.25,b'ShiftInProcess',14024.521725,0,0.00594,34.2661875,0.047400882344405204,7.979946522627139,4055.084642953693,5.476875,0.003025588234748966,0.5093582886782771,0.06731215751175496,34.30535433826882,0.0502035911549541,8.451783022719544,5102.62152350068
2024-07-03 15:32:45.527985-03:00,1.0,2.0,2705.375,30.0,650,6.0,14.316000531725367,2698.9071089455338,434.3002248875824,b'ShiftInProcess',14024.527985,0,0.00626,34.27612028360828,0.009932783608277873,1.5867066466897561,6.338501011679195,5.515612856072297,0.03873785607229685,6.1881559220921485,1466.374811898003,34.358262499999995,0.05290816173117463,8.451783024149302,5102.621526953449
2024-07-03 15:32:45.531730-03:00,1.0,2.0,2706.033007028088,29.435993975924585,650,6.0,14.327853598013688,2699.375,436.125,b'ShiftInProcess',14024.53173,0,0.003745,34.2820625,0.005942216391723321,1.5867066466550923,6.3385010111253015,5.5387875,0.023174643927703187,6.188155921950116,1466.3748117633766,34.36661918925672,0.00835668925672195,2.2314257027294926,24.793036787959604
2024-07-03 15:32:45.535745-03:00,1.0,2.0,2706.7384538152905,28.831325301179515,650,6.0,14.340561224489797,2697.865601503724,435.11873433581604,b'ShiftInProcess',14024.535745000001,0,0.004015,34.262893139097294,-0.019169360902708377,-4.774436090338325,519.6229657788485,5.526007926064864,-0.012779573935135957,-3.182957393558146,102.64157348708486,34.37557836345419,0.008959174197471498,2.231425702981693,24.793036799168252
2024-07-03 15:32:45.541705-03:00,1.0,2.0,2707.78564257035,27.933734939700177,650,6.0,14.359424849345247,2695.625,433.625,b'ShiftInProcess',14024.541705000001,0,0.00596,34.234437500000006,-0.0284556390972881,-4.77443609014901,519.6229656964324,5.5070375,-0.018970426064863766,-3.182957393433518,102.6415734710092,34.388877660643445,0.013299297189256265,2.2314257028953466,24.79303679533072
2024-07-03 15:32:45.547905-03:00,1.0,2.0,2708.875,27.0,650,6.0,14.37904808325331,2698.261318159387,435.0206978490871,b'ShiftInProcess',14024.547905000001,0,0.0062,34.26791874062422,0.033481240624212205,5.400200100679388,850.4316416191375,5.524762862683406,0.01772536268340641,2.85892946506555,66.8057374871361,34.4027125,0.013834839356555051,2.2314257026701694,24.79303678532308
2024-07-03 15:32:45.551700-03:00,1.0,2.0,2710.5961418980933,26.81138170979801,650,6.0,14.391059401423993,2699.875,435.875,b'ShiftInProcess',14024.5517,0,0.003795,34.2884125,0.020493759375781906,5.400200099020265,850.4316405740125,5.5356125,0.010849637316593608,2.858929464188039,66.80573740511552,34.424571002105786,0.021858502105786215,5.759816101656447,1100.6125744090386
2024-07-03 15:32:45.556225-03:00,1.0,2.0,2712.6483598406476,26.586481113353692,650,6.0,14.405381197140498,2702.42383748811,435.875,b'ShiftInProcess',14024.556225,0,0.004525,34.320782736099,0.03237023609899836,7.153643336795217,2618.841014683913,5.5356125,0.0,0.0,0.0,34.450634169976226,0.02606316787043994,5.759816103964627,1100.61257617327
2024-07-03 15:32:45.562130-03:00,1.0,2.0,2715.326447564402,26.292992047736792,650,6.0,14.424070744919593,2705.75,435.875,b'ShiftInProcess',14024.56213,0,0.005905,34.363025,0.042242263901002275,7.153643336325534,2618.8410139961375,5.5356125,0.0,0.0,0.0,34.4846458840679,0.034011714091676026,5.759816103586118,1100.6125758839612
2024-07-03 15:32:45.568025-03:00,1.0,2.0,2718.0,26.0,650,6.0,14.442728642322216,2711.3885613204347,438.2694575470339,b'ShiftInProcess',14024.568025,0,0.005895,34.434634728769524,0.07160972876952343,12.147536686942058,21774.7349550948,5.566022110847331,0.030409610847330626,5.158542976646417,708.1222037822985,34.5186,0.033954115932097295,5.759816103833298,1100.6125760728905
2024-07-03 15:32:45.571670-03:00,1.0,2.0,2719.27369421311,25.821235899914402,650,6.0,14.454265204840056,2714.875,439.75,b'ShiftInProcess',14024.571670000001,0,0.003645,34.4789125,0.04427777123047605,12.147536688745145,21774.734968023102,5.584825,0.0188028891526697,5.158542977412813,708.1222042031164,34.5347759165065,0.016175916506497856,4.437837175993925,387.8693441184036
