timestamps,TransCurrentGear,TransSelectedGear,WheelBasedVehicleSpeed,EngSpeed,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:20:00.842231458-03:00,5.0,6.0,14.353926267066669,1503.627100260994,311.15883965684907,1515.7629234102724,b'Shift in process',1,0.0,19.25018912731046,0.0,0.0,0.0,3.951717263641983,0.0,0.0,0.0
2024-08-05 10:20:00.842799905-03:00,5.0,6.0,14.349399867867008,1503.1621392374586,311.1122404370575,1515.450042934529,b'Shift in process',0,0.000568447,19.246215545268516,-0.003973582041943757,-6.990241908117656,2387.639866714771,3.9511254535506306,-0.0005918100913522295,-1.0410998586538929,1.1748151815538137
2024-08-05 10:20:00.843364179-03:00,5.0,6.0,14.344906697207378,1502.7005915178104,311.0659833046453,1515.1394593311898,b'Shift in process',0,0.000564274,19.24227113350611,-0.003944411762404343,-6.990241908016926,2387.6398665771467,3.950537987968995,-0.0005874655816358043,-1.0410998586427946,1.174815181503719
2024-08-05 10:20:00.843988143-03:00,5.0,6.0,14.339938230225968,1502.1902203836753,311.01483300289743,1514.7960215908827,b'Shift in process',0,0.000623964,19.237909474204212,-0.004361659301899579,-6.9902419080260705,2387.639866589641,3.9498883791367976,-0.0006496088321972238,-1.0410998586412419,1.1748151814967103
2024-08-05 10:20:00.844599637-03:00,5.0,6.0,14.335069058689912,1501.6900490816515,310.964704946444,1514.4594474975524,b'Shift in process',0,0.000611494,19.233634983218916,-0.0042744909852956425,-6.990241908008325,2387.639866565395,3.9492517528198388,-0.0006366263169588215,-1.0410998586393678,1.1748151814882513
2024-08-05 10:20:00.845410540-03:00,5.0,6.0,14.328612043893163,1501.0267712582756,310.8982300646585,1514.0131161484214,b'Shift in process',0,0.000810903,19.227966575084952,-0.005668408133963965,-6.990241908050612,2387.6398666231707,3.948407521821163,-0.000844230998675588,-1.0410998586459639,1.1748151815180243
2024-08-05 10:20:00.847888408-03:00,5.0,6.0,14.308881409846467,1499.0,310.69510344855314,1512.649266011714,b'Shift in process',0,0.002477868,19.21064567834877,-0.017320896736183755,-6.990241908036972,2387.639866604535,3.945827813796625,-0.0025797080245379966,-1.0410998586438005,1.1748151815082593
2024-08-05 10:20:00.850672716-03:00,5.0,6.0,14.286710671848585,1496.7277918148395,310.4668559945985,1511.1167473923042,b'Shift in process',0,0.002784308,19.191182691882265,-0.019462986466503907,-6.990241908044622,2387.639866614987,3.9429290711314016,-0.002898742665223608,-1.041099858644808,1.1748151815128065
2024-08-05 10:20:00.851244975-03:00,5.0,6.0,14.28215391866043,1496.2607847222985,310.41994428089754,1510.8017687431693,b'Shift in process',0,0.000572259,19.18718246303825,-0.00400022884401352,-6.990241907970902,2387.639866514266,3.942333292367399,-0.0005957787640027412,-1.0410998586352356,1.1748151814695995
2024-08-05 10:20:00.851793234-03:00,5.0,6.0,14.277788271381489,1495.8133634645267,310.375,1510.5,b'Shift in process',0,0.000548259,19.18335,-0.0038324630382504665,-6.990241908022424,2387.639866584658,3.9417625,-0.0005707923673989868,-1.0410998586416031,1.174815181498341
