timestamps,TransSelectedGear,TransCurrentGear,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,Time,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:18:48.773883650-03:00,6.0,8.0,635.6903474781807,1229.9190636518133,b'Shift in process',78.77388365,1,0.0,15.619972108378029,0.0,0.0,0.0,8.073267412972895,0.0,0.0,0.0
2024-08-05 10:18:48.780448299-03:00,6.0,8.0,635.375,1228.5,b'Shift in process',78.780448299,0,0.006564649,15.60195,-0.018022108378028534,-2.745327035463516,56.803663726254236,8.0692625,-0.004004912972893848,-0.6100726745472376,0.13852440475824013
2024-08-05 10:18:48.790189582-03:00,6.0,8.0,632.375,1220.25,b'Shift in process',78.79018958200001,0,0.009741283,15.497174999999999,-0.10477500000000184,-10.755770056162195,13383.386990381052,8.031162499999999,-0.0381000000000018,-3.9111891113318236,234.0104548554031
2024-08-05 10:18:48.801102954-03:00,6.0,8.0,631.625,1217.0,b'Shift in process',78.801102954,0,0.010913372,15.455900000000002,-0.041274999999997064,-3.7820574612500213,204.60323278046516,8.0216375,-0.00952499999999823,-0.8727824910575971,0.5802619605479525
2024-08-05 10:18:48.809914732-03:00,6.0,8.0,629.375,1214.5,b'Shift in process',78.80991473200001,0,0.008811778,15.424150000000001,-0.03175000000000061,-3.603132080722031,168.54688469534113,7.993062500000001,-0.028575000000000017,-3.2428188726497673,110.58361104860506
2024-08-05 10:18:48.820927092-03:00,6.0,8.0,628.0,1210.0,b'Shift in process',78.820927092,0,0.01101236,15.367,-0.057150000000000034,-5.189623296005582,725.3428557422457,7.9756,-0.017462500000000603,-1.5857182293350927,6.322721831015934
2024-08-05 10:18:48.830111862-03:00,6.0,8.0,626.625,1207.0,b'Shift in process',78.83011186200001,0,0.00918477,15.3289,-0.03810000000000002,-4.148171375004494,296.0920596870965,7.958137499999999,-0.017462500000000603,-1.9012452135437907,13.066297278523361
2024-08-05 10:18:48.841285725-03:00,6.0,8.0,625.125,1203.625,b'Shift in process',78.841285725,0,0.011173863,15.286037499999999,-0.0428625000000018,-3.8359607594975706,216.51930449563122,7.939087499999999,-0.01905000000000001,-1.7048714486655163,8.448245991597684
2024-08-05 10:18:48.850582811-03:00,6.0,8.0,623.5,1198.875,b'Shift in process',78.85058281100001,0,0.009297086,15.2257125,-0.06032499999999885,-6.488592232017522,1772.5640180619248,7.918450000000001,-0.020637499999998532,-2.2197815530585103,24.279567817090147
2024-08-05 10:18:48.861356617-03:00,6.0,8.0,620.25,1189.375,b'Shift in process',78.861356617,0,0.010773806,15.1050625,-0.12064999999999948,-11.198456701373635,15726.522498641025,7.877175,-0.04127500000000062,-3.8310509767857908,215.41290787925624
